epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
81,41.1485,0.95587,0.70718,1.26938,0.06131,0.81053,0.77337,0.79782,0.6116,0.7764,0.62633,0.98893,0.03931,0.000362968,0.000362968,0.000362968
82,41.558,0.96188,0.70508,1.28062,0.05978,0.8144,0.77537,0.7984,0.61888,0.77403,0.62293,0.98739,0.03985,0.000357893,0.000357893,0.000357893
83,41.9739,0.95152,0.69119,1.32984,0.05422,0.83226,0.78138,0.79569,0.6156,0.78387,0.6235,0.99093,0.04012,0.000352817,0.000352817,0.000352817
84,42.9374,0.96744,0.71853,1.2471,0.06042,0.84667,0.77889,0.79229,0.61593,0.77971,0.6192,0.99476,0.04054,0.000347742,0.000347742,0.000347742
85,43.3401,0.89977,0.68674,1.27745,0.0502,0.85192,0.78343,0.79351,0.61986,0.76502,0.61364,0.99124,0.04005,0.000342666,0.000342666,0.000342666
86,44.4363,0.91976,0.69351,1.32582,0.05466,0.85997,0.78121,0.79597,0.6153,0.76638,0.60961,0.98983,0.0402,0.000337591,0.000337591,0.000337591
87,44.8435,0.9373,0.66731,1.28748,0.04669,0.83128,0.77717,0.79229,0.60707,0.78046,0.60995,0.9896,0.04002,0.000332516,0.000332516,0.000332516
88,45.2637,1.00088,0.71028,1.27224,0.04322,0.82799,0.77701,0.79205,0.60844,0.7701,0.6079,0.98641,0.04009,0.00032744,0.00032744,0.00032744
89,45.6593,0.94918,0.68794,1.29163,0.04335,0.84567,0.7754,0.79396,0.62091,0.75366,0.60499,0.9847,0.0398,0.000322365,0.000322365,0.000322365
90,46.0746,0.9147,0.67508,1.29923,0.04068,0.86521,0.77012,0.79402,0.61945,0.75667,0.60423,0.98633,0.03951,0.000317289,0.000317289,0.000317289
91,46.4717,0.91563,0.67386,1.24588,0.04354,0.85862,0.77977,0.79573,0.621,0.76441,0.60482,0.98713,0.03896,0.000312214,0.000312214,0.000312214
92,46.907,0.95491,0.67674,1.29432,0.04256,0.86156,0.77561,0.80255,0.62503,0.74941,0.59686,0.97731,0.03889,0.000307139,0.000307139,0.000307139
93,47.3159,0.89791,0.66174,1.22353,0.04886,0.88142,0.76896,0.80528,0.63091,0.74452,0.59179,0.97193,0.03858,0.000302063,0.000302063,0.000302063
94,47.9865,0.9411,0.67991,1.22646,0.05413,0.89277,0.76969,0.80874,0.63299,0.75172,0.59126,0.97097,0.039,0.000296988,0.000296988,0.000296988
95,48.4144,0.97119,0.6851,1.24278,0.0506,0.89433,0.77117,0.80747,0.62948,0.75692,0.59206,0.97065,0.03985,0.000291912,0.000291912,0.000291912
96,48.8314,0.91345,0.66409,1.29785,0.04584,0.87659,0.77172,0.80332,0.62679,0.7501,0.59389,0.97309,0.04072,0.000286837,0.000286837,0.000286837
97,49.2305,0.9055,0.67974,1.26734,0.05446,0.85918,0.77122,0.80076,0.62783,0.75036,0.59386,0.97484,0.04006,0.000281762,0.000281762,0.000281762
98,49.6382,0.89968,0.65317,1.26091,0.04989,0.84007,0.77282,0.79837,0.62585,0.75377,0.59434,0.97651,0.0394,0.000276686,0.000276686,0.000276686
99,50.0532,0.90285,0.66514,1.27365,0.05038,0.85889,0.78191,0.80569,0.63107,0.7542,0.59424,0.97637,0.03921,0.000271611,0.000271611,0.000271611
100,50.4705,0.96075,0.71575,1.26348,0.05723,0.86982,0.79539,0.81027,0.63056,0.75333,0.58829,0.96966,0.03952,0.000266535,0.000266535,0.000266535
101,50.8698,0.94188,0.6699,1.26651,0.05795,0.86619,0.79484,0.81048,0.63305,0.7569,0.58685,0.96916,0.03939,0.00026146,0.00026146,0.00026146
102,51.2988,0.8787,0.63032,1.26401,0.04952,0.86419,0.79987,0.80811,0.63001,0.75745,0.58548,0.9696,0.03941,0.000256385,0.000256385,0.000256385
103,51.7024,0.89307,0.64189,1.23173,0.04678,0.84573,0.78345,0.80783,0.63825,0.75237,0.58266,0.97047,0.0397,0.000251309,0.000251309,0.000251309
104,52.1268,0.90579,0.64873,1.25284,0.0532,0.922,0.79096,0.80586,0.6406,0.73873,0.5798,0.97267,0.03883,0.000246234,0.000246234,0.000246234
105,52.5533,0.87057,0.64001,1.27443,0.05072,0.92513,0.78997,0.80708,0.64182,0.73481,0.58024,0.97358,0.0387,0.000241158,0.000241158,0.000241158
106,52.9786,0.97453,0.70027,1.22689,0.05677,0.92731,0.79864,0.80741,0.64483,0.73293,0.57963,0.97381,0.03852,0.000236083,0.000236083,0.000236083
107,53.3934,0.89958,0.65744,1.26964,0.05293,0.90412,0.80279,0.81022,0.64678,0.73236,0.57953,0.97411,0.03818,0.000231008,0.000231008,0.000231008
108,54.4468,0.91456,0.65784,1.23734,0.04789,0.86541,0.81122,0.81541,0.6486,0.733,0.57936,0.97407,0.03794,0.000225932,0.000225932,0.000225932
109,54.8593,0.86122,0.6305,1.2028,0.04073,0.87662,0.81285,0.81557,0.64772,0.73142,0.57833,0.97332,0.03784,0.000220857,0.000220857,0.000220857
110,55.259,0.87621,0.63868,1.28572,0.04817,0.86993,0.81266,0.81376,0.64582,0.72441,0.57497,0.9723,0.03719,0.000215781,0.000215781,0.000215781
